Neighborhood,Submetric Score
Saint Clair,1
Ridgemont,2
Chartiers,3
New Homestead,4
Swisshelm Park,5
East Carnegie,6
Esplen,7
Summer Hill,8
Oakwood,9
Regent Square,10
Hays,11
Fairywood,12
Mount Oliver,13
Glen Hazel,14
Arlington Heights,15
Allegheny West,16
Windgap,17
Spring Garden,18
Polish Hill,19
Morningside,20
Westwood,21
Bon Air,22
Stanton Heights,23
Fineview,24
Upper Hill,25
Duquesne Heights,26
Friendship,27
Lincoln Place,28
Upper Lawrenceville,29
Southshore,30
West End,31
Homewood West,32
West Oakland,33
Arlington,33
Banksville,35
Lower Lawrenceville,36
Manchester,36
Lincoln-Lemington-Belmar,38
Beltzhoover,39
Overbrook,40
Perry North,40
California-Kirkbride,42
Northview Heights,43
Point Breeze North,44
Elliott,45
Crafton Heights,46
Spring Hill–City View,47
Terrace Village,48
Point Breeze,49
Allegheny Center,50
South Oakland,51
Troy Hill,52
Chateau,53
Highland Park,54
Central Lawrenceville,55
Garfield,56
Strip District,56
Squirrel Hill North,58
Larimer,59
Bedford Dwellings,60
Greenfield,61
North Oakland,62
Beechview,63
South Side Slopes,64
Lincoln–Lemington–Belmar,65
Middle Hill,66
Brighton Heights,67
Central Northside,68
Central Oakland,68
Perry South,70
East Hills,71
Bluff,72
Hazelwood,73
Sheraden,74
North Shore,75
Homewood North,76
Marshall-Shadeland,77
Crawford-Roberts,78
Homewood South,79
Allentown,80
Brookline,81
Squirrel Hill South,82
Mount Washington,83
Knoxville,84
Bloomfield,85
East Liberty,86
East Allegheny,87
Shadyside,88
Carrick,89
South Side Flats,90
Central Business District,91
