neighborhood,average_daily_car_traffic
South Side Flats,115.0
Lincoln Place,126.0
Lincoln-Lemington-Belmar,195.0
Fineview,419.0
Allegheny West,477.0
New Homestead,666.0
Overbrook,777.0
Summer Hill,937.0
Upper Hill,953.3333333333334
Central Northside,1189.0
Spring Garden,1226.0
Hazelwood,1289.5
Spring Hill-City View,1293.0
Elliott,1342.6666666666667
Beechview,1418.3333333333333
Windgap,1531.0
Highland Park,1564.7333333333333
Beltzhoover,1577.0
Lower Lawrenceville,1736.0
Bluff,1788.3333333333333
East Allegheny,1924.0
Carrick,1969.5714285714287
Morningside,2049.285714285714
Perry North,2123.777777777778
Manchester,2129.3
Marshall-Shadeland,2217.1428571428573
Central Lawrenceville,2249.8333333333335
Arlington,2285.5
Central Business District,2305.0
Allegheny Center,2386.0
Greenfield,2386.0
St. Clair,2436.0
Friendship,2443.5
Brighton Heights,2515.6666666666665
Chartiers City,2571.0
West Oakland,2585.0
Polish Hill,2649.0
Sheraden,2844.0
Perry South,3018.75
Squirrel Hill South,3050.076923076923
Bloomfield,3078.6428571428573
Homewood North,3513.5
Central Oakland,3768.6666666666665
Larimer,3771.3
South Side Slopes,3778.1428571428573
Knoxville,3823.0
Point Breeze,3905.25
Brookline,3914.4
Squirrel Hill North,3939.1111111111113
Stanton Heights,4068.0
Homewood South,4274.2
Shadyside,4408.8
East Liberty,4658.818181818182
Point Breeze North,4964.0
California-Kirkbride,4975.333333333333
Mount Washington,5259.555555555556
Duquesne Heights,5831.0
North Oakland,5955.25
Westwood,7700.0
East Hills,8126.5
Strip District,9691.666666666666
North Shore,10350.0
Crafton Heights,11500.0
Regent Square,16729.0
