Neighborhood,Submetric Score
Saint Clair,1
Ridgemont,2
Chartiers,3
New Homestead,4
Swisshelm Park,5
East Carnegie,6
Summer Hill,7
Esplen,8
Oakwood,9
Regent Square,10
Hays,11
Mount Oliver,12
Fairywood,13
Arlington Heights,14
Allegheny West,15
Glen Hazel,15
Windgap,17
Spring Garden,18
Polish Hill,19
Morningside,20
Westwood,21
Bon Air,22
Stanton Heights,23
Fineview,24
Upper Hill,25
Duquesne Heights,26
Friendship,27
Lincoln Place,28
Southshore,29
West End,30
Upper Lawrenceville,30
Homewood West,32
West Oakland,33
Arlington,34
Banksville,35
Lower Lawrenceville,36
Manchester,37
Overbrook,38
Lincoln-Lemington-Belmar,39
Beltzhoover,40
Perry North,41
California-Kirkbride,42
Northview Heights,43
Elliott,44
Point Breeze North,45
Spring Hill–City View,46
Crafton Heights,47
Terrace Village,48
Point Breeze,49
Allegheny Center,50
South Oakland,51
Chateau,52
Troy Hill,53
Garfield,54
Squirrel Hill North,54
Strip District,56
Central Lawrenceville,57
Highland Park,58
Bedford Dwellings,58
Larimer,60
North Oakland,61
Greenfield,62
Beechview,63
South Side Slopes,64
Central Northside,65
Middle Hill,65
Lincoln–Lemington–Belmar,67
Perry South,68
Central Oakland,69
Brighton Heights,70
East Hills,71
Bluff,72
Hazelwood,73
Homewood North,74
Marshall-Shadeland,75
North Shore,76
Sheraden,77
Crawford-Roberts,78
Allentown,79
Homewood South,80
Brookline,81
Squirrel Hill South,82
Mount Washington,83
Knoxville,84
Bloomfield,85
East Allegheny,86
East Liberty,87
Shadyside,88
Carrick,89
South Side Flats,90
Central Business District,91
