Neighborhood,Submetric Score
South Shore,1
Chateau,2
North Shore,3
Central Oakland,4
East Carnegie,5
Allegheny Center,6
Swisshelm Park,7
New Homestead,8
Homewood West,9
West End,10
Ridgemont,11
Hays,12
Bon Air,13
West Oakland,14
Summer Hill,15
Oakwood,16
Regent Square,17
Point Breeze,18
Chartiers City,19
Mount Oliver Neighborhood,20
Glen Hazel,21
Duquesne Heights,22
Strip District,23
Upper Hill,24
Squirrel Hill North,25
Banksville,26
Windgap,27
Esplen,28
South Oakland,29
North Oakland,30
Lincoln Place,31
Beltzhoover,32
Morningside,33
Overbrook,34
Saint Clair,35
Highland Park,36
Stanton Heights,37
Allegheny West,38
Friendship,39
Squirrel Hill South,40
Arlington,41
Point Breeze North,42
Westwood,43
Central Lawrenceville,44
Shadyside,45
California-Kirkbride,46
Spring Garden,47
Arlington Heights,48
Spring Hill-Cityview,49
Polish Hill,50
Upper Lawrenceville,51
Bluff,52
Fairywood,53
Central Business District,54
Fineview,55
Lower Lawrenceville,56
Larimer,57
Greenfield,58
Northview Heights,59
Southside Flats,60
Bedford Dwellings,61
Southside Slopes,62
Elliott,63
Homewood North,64
Homewood South,65
Terrace Village,66
Beechview,67
Lincoln-Lemington-Belmar,68
Brighton Heights,69
Crawford Roberts,70
Bloomfield,71
Crafton Heights,72
Perry North,73
Middle Hill,74
Perry South,75
Central Northside,76
Garfield,77
Manchester,78
Brookline,79
Troy Hill/Herr'S Island,80
Allentown,81
Knoxville,82
East Hills,83
Mount Washington,84
East Allegheny,85
Carrick,86
Sheraden,87
Hazelwood,88
East Liberty,89
Marshall-Shadeland,90
