Neighborhood,count
Central Business District,91.0
South Side Flats,90.0
Carrick,89.0
Shadyside,88.0
East Allegheny,87.0
East Liberty,86.0
Bloomfield,85.0
Knoxville,84.0
Mount Washington,83.0
Squirrel Hill South,82.0
Brookline,81.0
Allentown,80.0
Homewood South,79.0
Crawford-Roberts,78.0
Marshall-Shadeland,77.0
Homewood North,76.0
North Shore,75.0
Sheraden,74.0
Hazelwood,73.0
Bluff,72.0
East Hills,71.0
Perry South,70.0
Central Oakland,68.0
Central Northside,68.0
Brighton Heights,67.0
Middle Hill,66.0
Lincoln–Lemington–Belmar,65.0
South Side Slopes,64.0
Beechview,63.0
North Oakland,62.0
Greenfield,61.0
Bedford Dwellings,60.0
Larimer,59.0
Squirrel Hill North,58.0
Strip District,56.0
Garfield,56.0
Central Lawrenceville,55.0
Highland Park,54.0
Chateau,53.0
Troy Hill,52.0
South Oakland,51.0
Allegheny Center,50.0
Point Breeze,49.0
Terrace Village,48.0
Spring Hill–City View,47.0
Crafton Heights,46.0
Elliott,45.0
Point Breeze North,44.0
Northview Heights,43.0
California-Kirkbride,42.0
Perry North,40.0
Overbrook,40.0
Beltzhoover,39.0
Lincoln-Lemington-Belmar,38.0
Manchester,36.0
Lower Lawrenceville,36.0
Banksville,35.0
Arlington,33.0
West Oakland,33.0
Homewood West,32.0
West End,31.0
Southshore,30.0
Upper Lawrenceville,29.0
Lincoln Place,28.0
Friendship,27.0
Duquesne Heights,26.0
Upper Hill,25.0
Fineview,24.0
Stanton Heights,23.0
Bon Air,22.0
Westwood,21.0
Morningside,20.0
Polish Hill,19.0
Spring Garden,18.0
Windgap,17.0
Allegheny West,16.0
Arlington Heights,15.0
Glen Hazel,14.0
Mount Oliver,13.0
Fairywood,12.0
Hays,11.0
Regent Square,10.0
Oakwood,9.0
Summer Hill,8.0
Esplen,7.0
East Carnegie,6.0
Swisshelm Park,5.0
New Homestead,4.0
Chartiers,3.0
Ridgemont,2.0
Saint Clair,1.0
